记者
发生
没有
使用
火灾
发现
充电
现场
起火
已经
当时
进行
居民
安全
爆炸
原因
表示
自燃
导致
看到
医院
小区
女士
情况
突然
事故
告诉
因为
如果
事发
人员
市民
造成
不要
赶到
引发
消防
出现
了解
介绍
家里
家中
引起
正在
危险
可以
民警
目前
由于
调查
扑灭
及时
左右
死亡
提醒
一家
严重
一些
问题
浓烟
火势
附近
大火
还是
通过
厨房
报警
不少
出来
检查
晚上
警方
容易
房间
着火
这个
男子
窗户
赶紧
短路
公司
注意
经过
打开
时间
烧毁
随后
一定
上午
不过
但是
开始
时候
立即
部门
甚至
购买
儿子
楼下
灭火
结果
里面
一起
不能
线路
二楼
楼道
治疗
避免
今年
先生
室内
进入
听到
应该
意外
有人
直接
过程
一次
医生
工作
接到
